Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position
51,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.43773317337036133, 0.5771880745887756], [0.4573448598384857, 0.5784180760383606], [0.42500385642051697, 0.6221026182174683], [0.464212566614151, 0.6227262020111084], [0.41106492280960083, 0.6802283525466919], [0.4762113690376282, 0.6765385270118713], [0.40895652770996094, 0.704394519329071], [0.47308263182640076, 0.7002869248390198], [0.43201732635498047, 0.7306402325630188], [0.46040400862693787, 0.7310703992843628], [0.4292720854282379, 0.8062340021133423], [0.4730648398399353, 0.8053757548332214], [0.4313077926635742, 0.8808905482292175], [0.4864271283149719, 0.8806720972061157]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6594039797782898, 0.671076774597168], [0.0, 0.0], [0.6607741117477417, 0.6879133582115173], [0.6619688272476196, 0.7155817747116089], [0.6340126991271973, 0.6700150966644287], [0.6539947986602783, 0.7623139023780823], [0.6331859230995178, 0.6454800963401794], [0.6590054035186768, 0.785828709602356], [0.6298941373825073, 0.7850716710090637], [0.6401122212409973, 0.7946531772613525], [0.6050248146057129, 0.846421480178833], [0.6727387309074402, 0.8675228357315063], [0.5678942203521729, 0.9024425148963928], [0.7038027048110962, 0.9361148476600647]]","[569, 295]",wide_crosscourt drive,"[3.116, 2.011, 2.772]","[3.908, 3.262, 1.454]","[0, 0, 0]"
52,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4495610296726227, 0.5785225629806519], [0.4647097587585449, 0.5806061625480652], [0.43584519624710083, 0.6223424077033997], [0.47128137946128845, 0.6250907182693481], [0.42273640632629395, 0.6773673295974731], [0.48372000455856323, 0.6791174411773682], [0.42013972997665405, 0.7127090692520142], [0.4813520014286041, 0.7140119075775146], [0.4416850209236145, 0.7283194661140442], [0.46883344650268555, 0.7302553057670593], [0.43470269441604614, 0.8050366640090942], [0.4874710142612457, 0.8057935833930969], [0.43180209398269653, 0.8780003786087036], [0.5040735602378845, 0.8801430463790894]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6676167845726013, 0.680334746837616], [0.0, 0.0], [0.6709831953048706, 0.699401319026947], [0.667999267578125, 0.7189594507217407], [0.6430317163467407, 0.6659213304519653], [0.6535660028457642, 0.7123960852622986], [0.6376908421516418, 0.6483995914459229], [0.6400600671768188, 0.6959452033042908], [0.6399347186088562, 0.7918552160263062], [0.647379457950592, 0.7992473840713501], [0.6105773448944092, 0.8524317145347595], [0.6772304773330688, 0.8760879635810852], [0.5730118751525879, 0.9101244807243347], [0.7090333104133606, 0.9486212730407715]]","[567, 297]",crosscourt drive,"[3.174, 1.353, 3.281]","[3.931, 3.255, 1.433]","[0, 0, 0]"
53,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.44961586594581604, 0.5784132480621338], [0.4645100235939026, 0.5805469751358032], [0.4358157515525818, 0.6222258806228638], [0.4710392951965332, 0.62508225440979], [0.4227027893066406, 0.6772881150245667], [0.4832903742790222, 0.679259717464447], [0.4202791154384613, 0.7122161984443665], [0.480974018573761, 0.7136701941490173], [0.4416132867336273, 0.7283604741096497], [0.46866583824157715, 0.7303812503814697], [0.4345102906227112, 0.8056707382202148], [0.4876539707183838, 0.8064982295036316], [0.43118351697921753, 0.8791701197624207], [0.5040563344955444, 0.8814771771430969]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6678977608680725, 0.6797059178352356], [0.0, 0.0], [0.6713458299636841, 0.6990828514099121], [0.6678168177604675, 0.7189078330993652], [0.6433351635932922, 0.6653659343719482], [0.6530577540397644, 0.7114318013191223], [0.6382068991661072, 0.648297905921936], [0.639637291431427, 0.6942271590232849], [0.6403217315673828, 0.7915902137756348], [0.6474145650863647, 0.7992072105407715], [0.6110509634017944, 0.8525529503822327], [0.677238941192627, 0.8767218589782715], [0.5731989741325378, 0.9097201824188232], [0.708924412727356, 0.9490709900856018]]","[567, 297]",tight_straight drive,"[3.198, 0.899, 3.627]","[3.952, 3.249, 1.414]","[0, 0, 0]"
54,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.45674505829811096, 0.5827957987785339], [0.47218602895736694, 0.5839859843254089], [0.4412681460380554, 0.6259817481040955], [0.48021864891052246, 0.6278225183486938], [0.4277547001838684, 0.6766799688339233], [0.49463391304016113, 0.6780344843864441], [0.42709478735923767, 0.7016292214393616], [0.4929761290550232, 0.7033311724662781], [0.44839945435523987, 0.7283236384391785], [0.47790461778640747, 0.7302348613739014], [0.43892502784729004, 0.798708438873291], [0.49488210678100586, 0.7994139194488525], [0.431446373462677, 0.8729444146156311], [0.5060008764266968, 0.875096321105957]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6881281137466431, 0.7153356075286865], [0.6707295179367065, 0.7253327965736389], [0.6789549589157104, 0.7493484616279602], [0.6404072046279907, 0.743880033493042], [0.6710942983627319, 0.8202469944953918], [0.6374577283859253, 0.7261769771575928], [0.6807505488395691, 0.8634474873542786], [0.6447763442993164, 0.8095930218696594], [0.6596904993057251, 0.8191446661949158], [0.6264972686767578, 0.8668816685676575], [0.6992310285568237, 0.8834688067436218], [0.5695437788963318, 0.9020727276802063], [0.7034556865692139, 0.9355121850967407]]","[564, 299]",tight_straight drive,"[3.198, 0.882, 3.64]","[3.951, 3.249, 1.415]","[0, 0, 0]"
55,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4639989733695984, 0.5818848609924316], [0.48061972856521606, 0.581732451915741], [0.4506809711456299, 0.6245578527450562], [0.488985151052475, 0.6242533922195435], [0.4378596246242523, 0.6760188937187195], [0.500858724117279, 0.6743143796920776], [0.44000309705734253, 0.698581337928772], [0.5003831386566162, 0.6972602009773254], [0.45974159240722656, 0.7257456183433533], [0.4879310131072998, 0.7261850237846375], [0.4502296447753906, 0.7973811626434326], [0.498543918132782, 0.7969741225242615], [0.44483622908592224, 0.8699836730957031], [0.5070323348045349, 0.8704408407211304]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7028075456619263, 0.7415769696235657], [0.6683851480484009, 0.7533248662948608], [0.6913106441497803, 0.7717146277427673], [0.647152304649353, 0.7701085209846497], [0.679679811000824, 0.7988466024398804], [0.6578278541564941, 0.7960700392723083], [0.6828302145004272, 0.812860369682312], [0.6499448418617249, 0.8482788801193237], [0.6693201661109924, 0.8577812910079956], [0.6317705512046814, 0.891048014163971], [0.6805140972137451, 0.9003171920776367], [0.6092255711555481, 0.9189409613609314], [0.678360104560852, 0.9352627396583557]]","[561, 302]",tight_straight drive,"[3.2, 0.954, 3.586]","[3.929, 3.255, 1.434]","[0, 0, 0]"
56,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.47057557106018066, 0.5760089159011841], [0.48579102754592896, 0.5762985944747925], [0.457470178604126, 0.6179935932159424], [0.4940342903137207, 0.618352472782135], [0.446372926235199, 0.66914963722229], [0.5078908801078796, 0.6692749261856079], [0.44776782393455505, 0.6925994157791138], [0.508963406085968, 0.6926285624504089], [0.46661072969436646, 0.7193300127983093], [0.4928624629974365, 0.7202012538909912], [0.45793405175209045, 0.793202817440033], [0.49959796667099, 0.7931281328201294], [0.4542819559574127, 0.8642958998680115], [0.5061637163162231, 0.8656435012817383]]","[[0.7109797596931458, 0.7577745318412781], [0.71397465467453, 0.752054750919342], [0.7090479135513306, 0.7487583756446838], [0.0, 0.0], [0.7018086314201355, 0.747012734413147], [0.7048768997192383, 0.7902063727378845], [0.689440131187439, 0.7671619057655334], [0.6960769891738892, 0.8283641338348389], [0.6630914807319641, 0.7709667682647705], [0.6951951384544373, 0.8505255579948425], [0.6460659503936768, 0.7706288695335388], [0.6703563332557678, 0.8701635003089905], [0.6591066122055054, 0.8580466508865356], [0.6680475473403931, 0.890214204788208], [0.6518157720565796, 0.8811763525009155], [0.65045565366745, 0.9125490784645081], [0.6261966228485107, 0.8991711735725403]]","[558, 306]",tight_straight drive,"[3.201, 1.012, 3.542]","[3.798, 3.238, 1.565]","[0, 0, 0]"
57,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.47656598687171936, 0.5702037811279297], [0.490161269903183, 0.5703015327453613], [0.46305304765701294, 0.6098555326461792], [0.4985713064670563, 0.610464870929718], [0.45265549421310425, 0.6601625680923462], [0.5139044523239136, 0.6614141464233398], [0.4550464153289795, 0.6877421140670776], [0.5165488719940186, 0.6885667443275452], [0.47268301248550415, 0.7115213871002197], [0.4976733326911926, 0.7129563093185425], [0.46693021059036255, 0.7887814044952393], [0.5049882531166077, 0.7892283201217651], [0.46198344230651855, 0.86232590675354], [0.50690758228302, 0.8646581172943115]]","[[0.7241569757461548, 0.7753545045852661], [0.7288565039634705, 0.76866614818573], [0.7208479642868042, 0.7642551064491272], [0.0, 0.0], [0.7099782824516296, 0.759645402431488], [0.7107900381088257, 0.799246072769165], [0.6975529789924622, 0.7845935225486755], [0.7149777412414551, 0.8506972193717957], [0.7004609107971191, 0.8324904441833496], [0.7329933047294617, 0.8812441229820251], [0.7176114916801453, 0.8609785437583923], [0.6815066933631897, 0.8785855770111084], [0.6706523895263672, 0.8753515481948853], [0.7250372767448425, 0.897367000579834], [0.7173991799354553, 0.8975067138671875], [0.7120749354362488, 0.9690895676612854], [0.7033525705337524, 0.9662700891494751]]","[554, 313]",tight_straight drive,"[3.2, 1.07, 3.498]","[3.569, 3.045, 1.876]","[0, 0, 0]"
58,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5002252459526062, 0.5596245527267456], [0.4707123339176178, 0.5991088151931763], [0.5075840950012207, 0.5992562174797058], [0.4590381979942322, 0.6514330506324768], [0.5181716680526733, 0.6517965197563171], [0.46451354026794434, 0.6746132969856262], [0.5211616158485413, 0.6736629009246826], [0.4806582033634186, 0.7030468583106995], [0.5057843327522278, 0.7041170001029968], [0.47956618666648865, 0.7762172222137451], [0.510443389415741, 0.7766776084899902], [0.47610536217689514, 0.8534762859344482], [0.5088538527488708, 0.855828583240509]]","[[0.7351192235946655, 0.787268340587616], [0.0, 0.0], [0.7324625849723816, 0.778816282749176], [0.0, 0.0], [0.7244658470153809, 0.7756435871124268], [0.7224799394607544, 0.80643630027771], [0.7119235992431641, 0.8022426962852478], [0.730768620967865, 0.856358528137207], [0.7137094736099243, 0.8491463661193848], [0.762952446937561, 0.8940091729164124], [0.7349510192871094, 0.8703545331954956], [0.6757446527481079, 0.8621763586997986], [0.6729748249053955, 0.8587396144866943], [0.6701370477676392, 0.9005928635597229], [0.6883861422538757, 0.9069466590881348], [0.626812219619751, 0.913345992565155], [0.6672052145004272, 0.9333426356315613]]","[554, 313]",tight_straight drive,"[3.2, 1.081, 3.49]","[3.91, 3.248, 1.452]","[0, 0, 0]"
59,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5000818967819214, 0.5601889491081238], [0.4706176817417145, 0.5994609594345093], [0.5076359510421753, 0.5995076298713684], [0.45900511741638184, 0.6515405178070068], [0.5182871222496033, 0.6517767906188965], [0.46454137563705444, 0.672427773475647], [0.5211783051490784, 0.6713179349899292], [0.4805585741996765, 0.7038168907165527], [0.5059370994567871, 0.704771876335144], [0.47827744483947754, 0.7787345051765442], [0.510456383228302, 0.7791009545326233], [0.47473031282424927, 0.8553106784820557], [0.5094591379165649, 0.857462465763092]]","[[0.7323418855667114, 0.7853792905807495], [0.7359461784362793, 0.7799049615859985], [0.7304534912109375, 0.7763140201568604], [0.0, 0.0], [0.7245866656303406, 0.7680650353431702], [0.7224846482276917, 0.7988402247428894], [0.7120572328567505, 0.7823241949081421], [0.7377012968063354, 0.8527421951293945], [0.7140253782272339, 0.8192269802093506], [0.7629050016403198, 0.8983697891235352], [0.7162297368049622, 0.846307098865509], [0.6794103384017944, 0.8664156794548035], [0.6697214841842651, 0.8583055138587952], [0.7033220529556274, 0.9024390578269958], [0.6800158023834229, 0.897696852684021], [0.6886755228042603, 0.9360845685005188], [0.648010790348053, 0.9289008975028992]]","[551, 320]",tight_straight drive,"[3.203, 1.19, 3.408]","[3.744, 3.213, 1.626]","[0, 0, 0]"
60,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.502514123916626, 0.5533890128135681], [0.47244778275489807, 0.596540093421936], [0.5098892450332642, 0.5959285497665405], [0.464385986328125, 0.6491503119468689], [0.523905873298645, 0.6488448977470398], [0.4687243103981018, 0.6736487150192261], [0.5264555215835571, 0.672104001045227], [0.4838690161705017, 0.699192225933075], [0.5093302130699158, 0.7004836201667786], [0.48529917001724243, 0.7738051414489746], [0.5128153562545776, 0.774138867855072], [0.48278480768203735, 0.8525416851043701], [0.5108818411827087, 0.8545476198196411]]","[[0.7402712106704712, 0.7901720404624939], [0.0, 0.0], [0.737848162651062, 0.7825239300727844], [0.0, 0.0], [0.7317307591438293, 0.7796311974525452], [0.7171993255615234, 0.7900643944740295], [0.7200078368186951, 0.8111867308616638], [0.715692400932312, 0.8340979814529419], [0.732756495475769, 0.8828034400939941], [0.7407225966453552, 0.8594074845314026], [0.7667055130004883, 0.9042372107505798], [0.6692003011703491, 0.8506834506988525], [0.6765363216400146, 0.8580172061920166], [0.6715067625045776, 0.8835806250572205], [0.7130880951881409, 0.9019877314567566], [0.6202749013900757, 0.9088022112846375], [0.6967992782592773, 0.9392942786216736]]","[551, 320]",tight_straight drive,"[3.203, 1.175, 3.419]","[3.656, 3.146, 1.741]","[0, 0, 0]"
61,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4901250898838043, 0.5502258539199829], [0.5061546564102173, 0.5498504638671875], [0.4765889644622803, 0.5930553674697876], [0.5143941640853882, 0.592529833316803], [0.4686078131198883, 0.6441469192504883], [0.530640184879303, 0.6430070400238037], [0.4712703824043274, 0.6680176854133606], [0.5324928164482117, 0.6665753126144409], [0.4881002902984619, 0.695365309715271], [0.514020562171936, 0.696698009967804], [0.48895034193992615, 0.7680063843727112], [0.5202616453170776, 0.7680971622467041], [0.48762670159339905, 0.8486506938934326], [0.5214093327522278, 0.8505279421806335]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.736291229724884, 0.7831443548202515], [0.7080454230308533, 0.7694908380508423], [0.7310289144515991, 0.8186070919036865], [0.6691731214523315, 0.7804617285728455], [0.7377902269363403, 0.8905454874038696], [0.6555187702178955, 0.7953254580497742], [0.7679821252822876, 0.9051929712295532], [0.6675156950950623, 0.8491297960281372], [0.6876186728477478, 0.866971492767334], [0.6608937382698059, 0.8758073449134827], [0.7240490913391113, 0.9064977169036865], [0.619219958782196, 0.8994927406311035], [0.7231885194778442, 0.9406388998031616]]","[551, 320]",tight_straight drive,"[3.205, 1.218, 3.386]","[3.891, 3.254, 1.47]","[0, 0, 0]"
62,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.49640360474586487, 0.5479779839515686], [0.5111842751502991, 0.5480980277061462], [0.48260298371315, 0.5899921655654907], [0.5185533761978149, 0.5904647707939148], [0.47310513257980347, 0.643695056438446], [0.5325394868850708, 0.6432733535766602], [0.4760839343070984, 0.6773598790168762], [0.5353759527206421, 0.6764591336250305], [0.49406975507736206, 0.6921312808990479], [0.5189903378486633, 0.6939157247543335], [0.4941672682762146, 0.7682844996452332], [0.5278116464614868, 0.7685508131980896], [0.49073371291160583, 0.8453515768051147], [0.5298240184783936, 0.8482575416564941]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7370568513870239, 0.7670494318008423], [0.7034679651260376, 0.7621243596076965], [0.7308329343795776, 0.8091207146644592], [0.66267991065979, 0.7809998989105225], [0.7340030670166016, 0.8809951543807983], [0.6514824032783508, 0.7981672286987305], [0.7544671297073364, 0.9083671569824219], [0.6645376086235046, 0.8462494015693665], [0.6852452158927917, 0.8650588989257812], [0.6629617214202881, 0.8781959414482117], [0.7149802446365356, 0.9117141962051392], [0.626194417476654, 0.9025024175643921], [0.7083889245986938, 0.9481313228607178]]","[551, 320]",tight_straight drive,"[3.221, 1.433, 3.223]","[4.039, 3.23, 1.34]","[0, 0, 0]"
63,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5198968648910522, 0.549426794052124], [0.48879823088645935, 0.5890377163887024], [0.526584267616272, 0.591418981552124], [0.47673267126083374, 0.6448003053665161], [0.536487877368927, 0.6472154259681702], [0.4835461676120758, 0.6855276226997375], [0.5381768345832825, 0.6853340864181519], [0.49876707792282104, 0.6949514746665955], [0.5259049534797668, 0.6971871852874756], [0.497120201587677, 0.7687962651252747], [0.5397528409957886, 0.769938051700592], [0.4949677884578705, 0.845714807510376], [0.5476287603378296, 0.848989725112915]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7327609658241272, 0.7583403587341309], [0.6939371824264526, 0.752587616443634], [0.7263866066932678, 0.7932665348052979], [0.6567302942276001, 0.781567394733429], [0.7262000441551208, 0.8576453328132629], [0.653232216835022, 0.8052395582199097], [0.7353066205978394, 0.8844581842422485], [0.6658821105957031, 0.8469031453132629], [0.6915078163146973, 0.8633555173873901], [0.6653446555137634, 0.8879404664039612], [0.715953528881073, 0.9167918562889099], [0.635036289691925, 0.9274463057518005], [0.7156814336776733, 0.9685660600662231]]","[551, 320]",tight_straight drive,"[3.237, 1.649, 3.058]","[3.949, 3.249, 1.417]","[0, 0, 0]"
64,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5244003534317017, 0.5548829436302185], [0.49283379316329956, 0.5944855213165283], [0.5302445292472839, 0.5968058109283447], [0.4821816384792328, 0.6505942940711975], [0.5403076410293579, 0.6536306738853455], [0.49026593565940857, 0.6871717572212219], [0.5435768961906433, 0.6871146559715271], [0.5026106238365173, 0.6993408203125], [0.5307465195655823, 0.7019302248954773], [0.49845606088638306, 0.7706315517425537], [0.5500391721725464, 0.7721762657165527], [0.4938187599182129, 0.8447703123092651], [0.5626748204231262, 0.8482900857925415]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7313666343688965, 0.7454103231430054], [0.6865633726119995, 0.7454086542129517], [0.7226263284683228, 0.7683871984481812], [0.6627783179283142, 0.7907487750053406], [0.7176194190979004, 0.8232758641242981], [0.6658283472061157, 0.8459995985031128], [0.7157458662986755, 0.8677746057510376], [0.6582460999488831, 0.8326367735862732], [0.6867083311080933, 0.8443461656570435], [0.6668910980224609, 0.8762657046318054], [0.7268916368484497, 0.8879678249359131], [0.6362559795379639, 0.941381573677063], [0.7214673161506653, 0.9606420993804932]]","[551, 320]",tight_straight drive,"[3.283, 2.071, 2.732]","[3.976, 3.24, 1.393]","[0, 0, 0]"
65,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5244883298873901, 0.555098295211792], [0.4928376078605652, 0.5945303440093994], [0.530339241027832, 0.5968660712242126], [0.48224392533302307, 0.6505513191223145], [0.5403474569320679, 0.6536121368408203], [0.49035724997520447, 0.6869386434555054], [0.5435011982917786, 0.6868966817855835], [0.5024994015693665, 0.6992636919021606], [0.5307058691978455, 0.7018219828605652], [0.4983324408531189, 0.770792543888092], [0.5499210953712463, 0.7723308801651001], [0.4938470423221588, 0.8449546098709106], [0.5627056360244751, 0.848407506942749]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7317278981208801, 0.7450993061065674], [0.6864215135574341, 0.7451586127281189], [0.7230004668235779, 0.7685247659683228], [0.6624401807785034, 0.7904649376869202], [0.7180691361427307, 0.8236244916915894], [0.6658726930618286, 0.8456501364707947], [0.7164230942726135, 0.8676627278327942], [0.6581296920776367, 0.8328858017921448], [0.6869392991065979, 0.8447970747947693], [0.6664921641349792, 0.8768430352210999], [0.7268797755241394, 0.8887625932693481], [0.6359466910362244, 0.9413817524909973], [0.7215248942375183, 0.9609368443489075]]","[551, 320]",tight_straight drive,"[3.331, 2.373, 2.492]","[4.014, 3.232, 1.361]","[0, 0, 0]"
66,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5127645134925842, 0.5644363760948181], [0.530860960483551, 0.5657204985618591], [0.498577356338501, 0.6056064963340759], [0.5366291999816895, 0.6084991693496704], [0.4890793263912201, 0.6624990105628967], [0.547378420829773, 0.6659759879112244], [0.4968498647212982, 0.6971757411956787], [0.5494252443313599, 0.6981054544448853], [0.5056782960891724, 0.7107678651809692], [0.5355909466743469, 0.7134864926338196], [0.4997592568397522, 0.7732784748077393], [0.5610328912734985, 0.7749462723731995], [0.49237412214279175, 0.8467433452606201], [0.577712893486023, 0.8500892519950867]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.7064995765686035, 0.7122551202774048], [0.7249656915664673, 0.7313357591629028], [0.6873992681503296, 0.7321411967277527], [0.7234283685684204, 0.7682160139083862], [0.6533357501029968, 0.7587035894393921], [0.7136858701705933, 0.8247390985488892], [0.6467175483703613, 0.7845950722694397], [0.7088428735733032, 0.839113712310791], [0.6563754081726074, 0.8305997848510742], [0.6851906180381775, 0.8447598814964294], [0.6644083261489868, 0.8705750107765198], [0.719464898109436, 0.8966875076293945], [0.6356157064437866, 0.932185173034668], [0.7142336964607239, 0.9693193435668945]]","[462, 115]",slight_crosscourt drive,"[3.331, 2.373, 2.492]","[4.014, 3.232, 1.36]","[0, 0, 0]"
67,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5356995463371277, 0.5739964246749878], [0.5066837668418884, 0.6172235012054443], [0.5447643995285034, 0.6147120594978333], [0.4997284412384033, 0.6761848330497742], [0.5529347658157349, 0.6791459918022156], [0.508320689201355, 0.7048861384391785], [0.5606493949890137, 0.7179023623466492], [0.5127425193786621, 0.7200477719306946], [0.5440953373908997, 0.7209697365760803], [0.5058006644248962, 0.7859832644462585], [0.5708419680595398, 0.7863394021987915], [0.49716314673423767, 0.8602040410041809], [0.5833856463432312, 0.8664856553077698]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.706857442855835, 0.6954283714294434], [0.7193459868431091, 0.7137198448181152], [0.6900626420974731, 0.7173700928688049], [0.7136397361755371, 0.7566147446632385], [0.6526831984519958, 0.7283716797828674], [0.7074604630470276, 0.8161197900772095], [0.6411458849906921, 0.7497590184211731], [0.7039775252342224, 0.8352727293968201], [0.657051682472229, 0.8172296285629272], [0.6772512793540955, 0.8332942724227905], [0.6619311571121216, 0.8652708530426025], [0.7127088904380798, 0.8958262205123901], [0.6354928612709045, 0.9305002093315125], [0.7176199555397034, 0.9732984900474548]]","[454, 95]",slight_crosscourt drive,"[3.385, 2.611, 2.296]","[3.967, 3.241, 1.4]","[0, 0, 0]"
68,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5449730753898621, 0.5812710523605347], [0.5162232518196106, 0.6204699873924255], [0.5531519651412964, 0.6212979555130005], [0.5101183652877808, 0.6761789321899414], [0.5602695345878601, 0.6833552122116089], [0.5191776156425476, 0.713539719581604], [0.5668233036994934, 0.7176303267478943], [0.5181955099105835, 0.7236838340759277], [0.5495168566703796, 0.7253401279449463], [0.5083322525024414, 0.7816071510314941], [0.5766612887382507, 0.7833765745162964], [0.49853524565696716, 0.8527735471725464], [0.5927919149398804, 0.8578047752380371]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6961088180541992, 0.6900227069854736], [0.0, 0.0], [0.6806069612503052, 0.7104153037071228], [0.7091242671012878, 0.7385182976722717], [0.643412709236145, 0.7279860377311707], [0.7026605010032654, 0.7909815311431885], [0.6288927793502808, 0.7499443292617798], [0.6992120146751404, 0.8220222592353821], [0.6625732183456421, 0.8087593913078308], [0.6834269762039185, 0.8205773830413818], [0.6561850905418396, 0.859605073928833], [0.6931909918785095, 0.8818114399909973], [0.6519290208816528, 0.913759708404541], [0.7055702209472656, 0.9443913698196411]]","[457, 97]",slight_crosscourt lob,"[3.403, 2.661, 2.25]","[3.983, 3.237, 1.386]","[0, 0, 0]"
69,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5378459692001343, 0.5849288105964661], [0.5550263524055481, 0.5855446457862854], [0.5255687236785889, 0.628421425819397], [0.5653253793716431, 0.6286248564720154], [0.5196332931518555, 0.6770011186599731], [0.5763517022132874, 0.6785047054290771], [0.5287874937057495, 0.6945318579673767], [0.5768598914146423, 0.6939139366149902], [0.5261090993881226, 0.72844398021698], [0.5590778589248657, 0.7292444109916687], [0.5129202008247375, 0.7831913232803345], [0.5870656967163086, 0.7843077778816223], [0.48979440331459045, 0.8631940484046936], [0.5973663330078125, 0.8642529249191284]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6845225691795349, 0.6805283427238464], [0.0, 0.0], [0.6707474589347839, 0.706007719039917], [0.6975141763687134, 0.7301242351531982], [0.6388512253761292, 0.7200102210044861], [0.6903409957885742, 0.7784551978111267], [0.6284574270248413, 0.7348380088806152], [0.6775198578834534, 0.7870061993598938], [0.6562856435775757, 0.8095574378967285], [0.6780697107315063, 0.8194311261177063], [0.6467875242233276, 0.8688793778419495], [0.6934924125671387, 0.8875700235366821], [0.6358596086502075, 0.9375147223472595], [0.7077917456626892, 0.9599501490592957]]","[460, 101]",straight drive,"[3.441, 2.792, 2.138]","[3.935, 3.252, 1.429]","[0, 0, 0]"
70,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.5498117208480835, 0.5846824645996094], [0.567500650882721, 0.585599958896637], [0.5350075960159302, 0.6257373094558716], [0.5762895941734314, 0.6273141503334045], [0.5274689197540283, 0.6743826866149902], [0.5868720412254333, 0.6781638860702515], [0.5378386974334717, 0.7123478651046753], [0.5879961848258972, 0.7132154107093811], [0.5379160046577454, 0.7247539162635803], [0.5722019076347351, 0.726314127445221], [0.5170882940292358, 0.7847121357917786], [0.593666672706604, 0.7863080501556396], [0.49312299489974976, 0.8600423336029053], [0.6046380400657654, 0.8626129031181335]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6754952669143677, 0.661720871925354], [0.6920422315597534, 0.6729916334152222], [0.655665397644043, 0.6916285753250122], [0.6865867972373962, 0.7108288407325745], [0.6282672882080078, 0.7198739647865295], [0.6817911863327026, 0.7484771013259888], [0.6216920018196106, 0.7411417365074158], [0.6752067804336548, 0.7635002136230469], [0.6448941826820374, 0.7961146235466003], [0.6673977375030518, 0.8053303360939026], [0.6385717988014221, 0.8684883713722229], [0.676613450050354, 0.8770174384117126], [0.6376762390136719, 0.926426351070404], [0.6856125593185425, 0.9402133226394653]]","[464, 105]",tight_straight drive,"[3.458, 2.833, 2.098]","[3.938, 3.247, 1.427]","[0, 0, 0]"
