[301, 134]
[301, 134]
[232, 207]
[175, 281]
[167, 277]
[167, 277]
[167, 277]
[79, 295]
[56, 313]
[53, 331]
[57, 347]
[78, 348]
[95, 348]
[123, 350]
[123, 350]
[123, 350]
[246, 242]
[217, 120]
[212, 131]
[212, 131]
[212, 131]
[193, 207]
[193, 207]
[193, 207]
[193, 207]
[158, 312]
[154, 316]
[154, 316]
[154, 316]
[154, 316]
[154, 316]
[154, 316]
[154, 316]
[154, 316]
[200, 116]
[190, 125]
[190, 125]
[156, 179]
[143, 208]
[143, 208]
[143, 208]
[89, 304]
[77, 307]
[59, 321]
[46, 338]
[41, 342]
[49, 331]
[62, 326]
[70, 327]
[74, 329]
[115, 183]
[147, 96]
[162, 55]
[176, 23]
[176, 23]
[176, 23]
[176, 23]
[153, 41]
[150, 48]
[140, 91]
[136, 122]
[128, 180]
[128, 180]
[189, 121]
[182, 136]
[170, 175]
[164, 192]
[155, 215]
[142, 212]
[130, 218]
[122, 228]
[110, 253]
[102, 276]
[98, 288]
[98, 288]
[98, 288]
[98, 288]
[98, 288]
[415, 98]
[431, 105]
[489, 134]
[557, 195]
[538, 225]
[538, 225]
[538, 225]
[538, 225]
[280, 217]
[285, 209]
[287, 211]
[296, 214]
[299, 215]
[299, 215]
[299, 215]
[299, 215]
[299, 215]
[377, 188]
[386, 214]
[386, 214]
[401, 254]
[401, 254]
[414, 275]
[414, 275]
[414, 275]
[414, 275]
[414, 275]
[438, 196]
[443, 211]
[461, 253]
[58, 112]
[58, 112]
[58, 112]
[489, 284]
[489, 284]
[453, 92]
[462, 99]
[477, 117]
[487, 132]
[504, 168]
[517, 198]
[539, 258]
[539, 258]
[570, 312]
[577, 312]
[586, 320]
[58, 112]
[600, 351]
[58, 112]
[573, 342]
[58, 112]
[558, 347]
[558, 347]
[458, 112]
[464, 119]
[474, 135]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[521, 292]
[58, 112]
[541, 297]
[553, 314]
[558, 324]
[58, 112]
[564, 350]
[555, 348]
[549, 350]
[58, 112]
[58, 112]
[460, 113]
[461, 106]
[470, 120]
[58, 113]
[489, 164]
[58, 113]
[58, 113]
[58, 113]
[529, 283]
[535, 284]
[546, 292]
[553, 305]
[553, 305]
[488, 108]
[58, 113]
[58, 113]
[493, 88]
[498, 102]
[505, 131]
[58, 113]
[518, 211]
[58, 113]
[535, 316]
[541, 305]
[552, 297]
[558, 297]
[569, 307]
[576, 321]
[575, 321]
[391, 215]
[563, 317]
[558, 323]
[58, 113]
[513, 174]
[493, 97]
[481, 61]
[480, 40]
[487, 42]
[58, 113]
[58, 113]
[511, 86]
[517, 108]
[525, 150]
[528, 168]
[535, 207]
[535, 207]
[559, 300]
[566, 291]
[576, 284]
[583, 285]
[594, 299]
[601, 314]
[598, 315]
[587, 312]
[577, 320]
[570, 330]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[566, 336]
[295, 103]
[308, 114]
[321, 129]
[321, 129]
[362, 192]
[362, 192]
[362, 192]
[362, 192]
[428, 125]
[428, 125]
[428, 125]
[428, 125]
[428, 125]
[428, 125]
[529, 248]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[529, 255]
[163, 197]
[139, 216]
[143, 219]
[143, 219]
[291, 112]
[332, 116]
[332, 116]
[332, 116]
[332, 116]
[546, 218]
[546, 218]
[546, 218]
[546, 218]
[500, 309]
[500, 309]
[500, 309]
[500, 309]
[326, 326]
[308, 320]
[308, 320]
[308, 320]
[308, 320]
[308, 320]
[308, 320]
[208, 310]
[193, 307]
[183, 311]
[170, 324]
[160, 315]
[155, 310]
[155, 310]
[123, 310]
[119, 312]
[102, 300]
[96, 300]
[108, 303]
[111, 303]
[121, 300]
[124, 301]
[128, 298]
[128, 298]
[128, 298]
[128, 298]
[128, 298]
[128, 298]
[128, 298]
[118, 249]
[116, 227]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[124, 223]
[234, 199]
[234, 199]
[227, 193]
[228, 200]
[228, 200]
[232, 230]
[233, 221]
[233, 221]
[235, 228]
[235, 228]
[232, 282]
[238, 220]
[238, 220]
[238, 220]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[412, 186]
[277, 129]
[271, 129]
[271, 129]
[271, 129]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[320, 104]
[108, 38]
[125, 49]
[274, 176]
[275, 176]
[609, 331]
[609, 331]
[609, 331]
[211, 235]
[211, 235]
[222, 119]
[222, 119]
[148, 198]
[58, 113]
[74, 301]
[74, 301]
[74, 301]
[74, 301]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[543, 267]
[335, 207]
[345, 206]
[349, 208]
[58, 113]
[58, 113]
[337, 103]
[337, 103]
[256, 113]
[231, 128]
[58, 113]
[58, 113]
[108, 249]
[58, 113]
[131, 321]
[58, 113]
[167, 314]
[58, 113]
[58, 113]
[216, 97]
[208, 85]
[199, 92]
[181, 111]
[169, 129]
[149, 168]
[133, 203]
[109, 269]
[58, 113]
[58, 113]
[58, 113]
[38, 338]
[44, 315]
[54, 294]
