Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type
12,"[[    0.24442     0.72903]
 [    0.24363     0.72087]
 [          0           0]
 [    0.24881     0.71003]
 [          0           0]
 [    0.27055     0.72412]
 [    0.26938     0.72311]
 [    0.28599     0.77782]
 [    0.28119     0.77835]
 [    0.27445     0.80774]
 [    0.26791     0.79843]
 [     0.3033     0.80592]
 [    0.29978     0.80501]
 [    0.28643     0.88233]
 [     0.2687     0.88097]
 [    0.30292     0.94884]
 [    0.26799     0.94094]]","[[    0.44202     0.56167]
 [    0.44465     0.55409]
 [          0           0]
 [     0.4532     0.55399]
 [          0           0]
 [    0.46171     0.59012]
 [    0.46625      0.5883]
 [    0.45935     0.63709]
 [    0.46293     0.63268]
 [    0.44354     0.63734]
 [    0.43965     0.63938]
 [    0.47139     0.69757]
 [    0.47538     0.69498]
 [    0.46233     0.77092]
 [    0.47505     0.76843]
 [    0.47008     0.85135]
 [    0.48488      0.8456]]","[81, 340]",tight_straight drive
13,"[[     0.2435     0.74313]
 [    0.24382     0.73337]
 [          0           0]
 [    0.24757     0.72374]
 [          0           0]
 [    0.26818     0.74023]
 [    0.24642     0.73631]
 [    0.28953     0.79834]
 [    0.23688     0.78088]
 [    0.26624     0.81657]
 [    0.23269     0.80735]
 [    0.29401     0.81992]
 [    0.27895     0.81776]
 [    0.27415     0.89353]
 [    0.25604     0.88654]
 [    0.29957     0.95581]
 [    0.26507     0.94848]]","[[    0.44223     0.55998]
 [    0.44494     0.55248]
 [          0           0]
 [    0.45386     0.55403]
 [          0           0]
 [    0.45985     0.59186]
 [    0.47512     0.58683]
 [     0.4567     0.64284]
 [          0           0]
 [    0.44435     0.64606]
 [          0           0]
 [    0.47207     0.69522]
 [    0.48341     0.69144]
 [    0.45876     0.76296]
 [    0.48042     0.75943]
 [     0.4653     0.84315]
 [    0.49051     0.83576]]","[85, 337]",tight_straight drive
14,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.23464     0.73371]
 [          0           0]
 [    0.25068      0.7562]
 [    0.25647     0.72903]
 [    0.26743      0.8009]
 [     0.2672     0.72811]
 [    0.25471     0.80929]
 [    0.26542     0.73063]
 [    0.28848     0.82595]
 [    0.28882      0.8144]
 [     0.2735     0.89935]
 [    0.25818     0.88016]
 [    0.30169     0.95294]
 [    0.26222     0.93499]]","[[    0.44299     0.55834]
 [    0.44584     0.55096]
 [          0           0]
 [    0.45601     0.55212]
 [          0           0]
 [    0.46356     0.58699]
 [    0.47197     0.58453]
 [    0.46314     0.63503]
 [          0           0]
 [      0.451     0.63514]
 [          0           0]
 [    0.47508     0.68693]
 [    0.48233     0.68409]
 [    0.45752     0.75025]
 [    0.47772     0.74732]
 [    0.46574     0.82978]
 [    0.49133     0.82376]]","[85, 337]",tight_straight drive
15,"[[    0.22814     0.75671]
 [    0.22867     0.74851]
 [          0           0]
 [    0.23391     0.74331]
 [          0           0]
 [    0.25188     0.76042]
 [    0.24476     0.77291]
 [    0.27712     0.78421]
 [    0.25982     0.81968]
 [     0.2711     0.79499]
 [    0.24477      0.8487]
 [    0.28427     0.84386]
 [    0.27943     0.84927]
 [    0.26421     0.89393]
 [     0.2574     0.89723]
 [    0.28435     0.95307]
 [    0.27291     0.95495]]","[[    0.44372     0.55303]
 [     0.4469     0.54598]
 [          0           0]
 [    0.45642      0.5489]
 [          0           0]
 [    0.46029     0.58594]
 [    0.47971     0.58068]
 [    0.45853     0.64035]
 [          0           0]
 [    0.44973     0.64709]
 [          0           0]
 [    0.47399     0.68115]
 [    0.48833     0.67717]
 [    0.45125     0.74056]
 [    0.47884     0.73647]
 [    0.45979     0.82615]
 [    0.49423     0.81843]]","[85, 337]",tight_straight drive
16,"[[    0.23051     0.76904]
 [    0.23193     0.76209]
 [          0           0]
 [    0.23821     0.75662]
 [          0           0]
 [    0.25441     0.77503]
 [    0.24831     0.77222]
 [    0.25902     0.82005]
 [          0           0]
 [    0.24884     0.85254]
 [    0.24735     0.85334]
 [    0.28726      0.8433]
 [    0.28475     0.84193]
 [    0.24984     0.88716]
 [    0.26269     0.88415]
 [    0.26856     0.95441]
 [    0.28948     0.94568]]","[[    0.44334     0.54811]
 [    0.44659     0.54099]
 [          0           0]
 [     0.4565     0.54344]
 [          0           0]
 [    0.45774     0.57883]
 [    0.47909     0.57425]
 [    0.45641     0.62818]
 [    0.49699      0.6214]
 [    0.45711     0.64916]
 [          0           0]
 [    0.47331     0.67403]
 [    0.48792     0.67134]
 [    0.45759     0.74003]
 [    0.48199     0.73729]
 [    0.46363     0.82356]
 [    0.49168     0.81794]]","[97, 335]",tight_straight lob
17,"[[    0.23052     0.76906]
 [    0.23196     0.76211]
 [          0           0]
 [    0.23828     0.75663]
 [          0           0]
 [    0.25448     0.77509]
 [    0.24838     0.77217]
 [    0.25898     0.82051]
 [          0           0]
 [    0.24881     0.85324]
 [    0.24741     0.85339]
 [    0.28733     0.84325]
 [     0.2848     0.84182]
 [    0.24992     0.88714]
 [    0.26264     0.88409]
 [    0.26868     0.95446]
 [    0.28935     0.94565]]","[[    0.44338      0.5481]
 [    0.44665     0.54098]
 [          0           0]
 [    0.45661     0.54344]
 [          0           0]
 [     0.4579     0.57884]
 [    0.47893     0.57436]
 [    0.45663     0.62811]
 [    0.49683     0.62146]
 [    0.45728     0.64887]
 [          0           0]
 [    0.47335     0.67401]
 [    0.48773     0.67137]
 [    0.45778     0.74017]
 [    0.48192     0.73748]
 [    0.46383     0.82348]
 [    0.49154     0.81793]]","[97, 335]",tight_straight drive
18,"[[          0           0]
 [          0           0]
 [          0           0]
 [    0.23164     0.74955]
 [          0           0]
 [     0.2447     0.77649]
 [     0.2533     0.76329]
 [    0.25184     0.84596]
 [    0.25647     0.81762]
 [    0.24145     0.88377]
 [    0.24339     0.86028]
 [    0.28204     0.84728]
 [    0.29088     0.84073]
 [    0.23936     0.90824]
 [    0.26735     0.89603]
 [     0.2593     0.96453]
 [    0.29718      0.9489]]","[[    0.44793     0.53599]
 [    0.45137     0.52844]
 [          0           0]
 [    0.46018     0.53049]
 [          0           0]
 [     0.4649     0.56523]
 [    0.47078     0.56402]
 [    0.47822     0.60884]
 [    0.49155     0.60724]
 [    0.48408     0.63278]
 [    0.49703     0.62083]
 [    0.47735     0.66469]
 [    0.48317     0.66362]
 [     0.4577     0.73418]
 [    0.48168     0.73285]
 [     0.4619     0.81836]
 [    0.49475     0.81474]]","[97, 335]",tight_straight drive
19,"[[    0.22667     0.75483]
 [    0.22888     0.74635]
 [          0           0]
 [    0.23546     0.74644]
 [          0           0]
 [    0.24271       0.776]
 [    0.24432     0.76531]
 [     0.2522     0.86364]
 [    0.24587     0.84531]
 [    0.25686     0.90347]
 [    0.25488     0.89921]
 [    0.28132     0.83488]
 [    0.28406     0.83025]
 [    0.23586     0.89424]
 [    0.25106     0.88343]
 [    0.27048     0.95787]
 [    0.28013     0.94883]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45559     0.52497]
 [          0           0]
 [    0.45411     0.56246]
 [    0.48162     0.55638]
 [    0.45064     0.61071]
 [     0.5014     0.60206]
 [    0.45263     0.63721]
 [    0.50793     0.62811]
 [     0.4685      0.6621]
 [    0.48782      0.6588]
 [    0.45253     0.72951]
 [    0.48518     0.72638]
 [     0.4549     0.81139]
 [     0.4947     0.80533]]","[97, 335]",tight_straight drive
20,"[[          0           0]
 [    0.23998     0.76843]
 [          0           0]
 [      0.247     0.76372]
 [          0           0]
 [    0.25426     0.78453]
 [    0.27178     0.77356]
 [    0.24701     0.84606]
 [          0           0]
 [    0.24153     0.88637]
 [          0           0]
 [    0.28094     0.84463]
 [    0.29416     0.84024]
 [    0.25001     0.89534]
 [    0.26923     0.89129]
 [    0.26198     0.96523]
 [    0.28345     0.95401]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45594     0.52215]
 [    0.46635     0.51817]
 [     0.4524     0.56046]
 [    0.48353     0.55362]
 [    0.44789     0.61054]
 [    0.50262     0.60107]
 [    0.45177     0.63786]
 [    0.50938     0.62866]
 [    0.46552     0.65855]
 [    0.48772     0.65526]
 [    0.45116      0.7316]
 [     0.4888     0.72872]
 [    0.44856      0.8127]
 [    0.49544     0.80699]]","[97, 335]",tight_straight drive
21,"[[    0.22645      0.7637]
 [    0.22729     0.75654]
 [          0           0]
 [    0.23384     0.75289]
 [          0           0]
 [    0.24515     0.77578]
 [    0.25871     0.75466]
 [     0.2494     0.84849]
 [          0           0]
 [    0.24635     0.88256]
 [          0           0]
 [    0.28255     0.84293]
 [    0.29358     0.83298]
 [    0.23923     0.88915]
 [    0.26031     0.87254]
 [    0.25805      0.9609]
 [    0.28193     0.94186]]","[[          0           0]
 [          0           0]
 [          0           0]
 [    0.45379     0.52577]
 [    0.46718     0.52041]
 [      0.451     0.56247]
 [    0.48408     0.55357]
 [    0.44617     0.61279]
 [    0.50315     0.60092]
 [    0.44952     0.64037]
 [    0.50873     0.63055]
 [    0.46576     0.65842]
 [    0.49008     0.65418]
 [    0.44562     0.72857]
 [    0.49288     0.72475]
 [    0.43853     0.80726]
 [    0.49997     0.80012]]","[97, 335]",tight_straight drive
